timestamp,opening,high,low,closing,volume
2020-02-21,68.6600,70.4300,57.5200,61.7600,3213215
2020-02-20,70.3400,71.1900,66.3100,68.3500,940743
2020-02-19,72.4000,72.5000,69.2300,70.5400,1097000
2020-02-18,73.3900,73.3900,69.7800,70.1400,816723
2020-02-14,73.3300,73.4500,69.2100,70.5000,1458014
2020-02-13,76.5000,76.9800,71.0000,73.8400,2134619
2020-02-12,66.3500,70.1100,65.8400,70.1100,664340
2020-02-11,66.8300,67.1900,63.8800,66.2000,716715
2020-02-10,61.7400,66.2500,60.1600,66.0300,1001521
2020-02-07,61.4000,63.2900,59.5200,61.7400,1218421
2020-02-06,59.9000,59.9000,57.3500,57.9800,435232
2020-02-05,60.0900,61.3350,59.0600,59.4900,367959
2020-02-04,57.9700,60.2700,57.6250,59.3600,432106
2020-02-03,54.1300,57.5800,54.1300,57.1500,531065
2020-01-31,54.4900,57.1200,53.5000,54.0800,646746
2020-01-30,54.5700,55.8100,53.0000,54.6300,396343
2020-01-29,54.5500,56.9100,54.3700,55.0400,456476
2020-01-28,51.9500,54.9800,51.9500,54.0800,778551
2020-01-27,48.0700,52.2900,47.9500,51.2900,807519
2020-01-24,51.8000,53.1600,48.8200,49.1000,567396
2020-01-23,53.4900,53.8800,49.0200,51.8400,883640
2020-01-22,56.2200,56.7450,53.8750,54.3500,479616
2020-01-21,56.8500,57.5600,56.0000,56.2200,583237
2020-01-17,58.8300,59.5900,57.3700,57.4300,387962
2020-01-16,58.9000,60.2300,58.1200,58.4700,315285
2020-01-15,59.1300,59.9700,58.2500,58.5700,332913
2020-01-14,57.1500,59.4900,56.7600,58.3400,402697
2020-01-13,59.4800,59.7700,56.2800,57.1300,488231
2020-01-10,60.7400,61.1200,59.2200,59.4400,308730
2020-01-09,61.1400,61.8700,59.6800,60.3100,426028
2020-01-08,59.8000,61.4900,59.0000,60.8500,325841
2020-01-07,61.4500,61.9300,59.2400,60.0400,571985
2020-01-06,59.0600,61.5900,58.3500,61.3800,423158
2020-01-03,60.2400,60.8650,59.0200,60.0200,385565
2020-01-02,60.3400,61.4000,59.0500,61.3400,382403
2019-12-31,59.7700,60.1600,59.1450,59.6300,216054
2019-12-30,59.6600,59.9900,58.6000,59.8200,332605
2019-12-27,59.4300,60.0000,58.2900,59.5600,453437
2019-12-26,57.2400,59.0600,56.8900,58.8200,372003
2019-12-24,56.0000,57.2500,55.0300,57.2400,160982
2019-12-23,54.1100,55.9200,53.7600,55.7900,470149
2019-12-20,53.7000,54.2800,52.8500,53.9000,1043736
2019-12-19,53.0000,53.6300,52.0000,53.3200,545176
2019-12-18,52.2000,52.9500,51.2000,52.6800,577604
2019-12-17,52.0500,52.5000,49.7100,52.0000,498605
2019-12-16,50.1900,52.3850,49.4250,52.0300,511660
2019-12-13,51.3300,51.4300,49.1900,49.6600,327806
2019-12-12,50.0000,51.6400,49.5300,51.3500,442102
2019-12-11,50.2400,50.5400,49.3200,50.1300,504476
2019-12-10,49.4100,50.5350,49.0000,50.2900,330405
2019-12-09,50.3300,50.4300,49.4700,49.6300,307472
2019-12-06,47.0000,50.0500,46.9600,49.9600,559724
2019-12-05,52.0000,52.0000,46.6500,47.0000,729293
2019-12-04,51.6100,51.9000,51.0000,51.5900,434671
2019-12-03,51.5000,51.8400,51.0500,51.4900,455752
2019-12-02,51.6200,51.9700,50.9200,51.6300,655145
2019-11-29,51.5000,51.8500,50.8501,51.3600,175043
2019-11-27,51.3700,52.1450,50.9713,51.8100,411769
2019-11-26,51.4400,51.6100,50.1000,51.1900,465376
2019-11-25,50.5000,53.6600,50.5000,51.5300,1416011
2019-11-22,47.3000,49.6700,47.0369,49.5500,556798
2019-11-21,44.8700,47.3500,44.7500,47.0800,609094
2019-11-20,45.5700,45.9500,43.4300,44.7600,527517
2019-11-19,45.7400,48.7000,45.4200,45.6500,1098569
2019-11-18,40.7300,45.0950,40.6000,44.5000,900388
2019-11-15,40.1100,40.5400,39.6700,40.4700,477077
2019-11-14,40.5000,40.8700,39.8300,39.9100,250352
2019-11-13,39.5900,40.7650,39.1350,40.5600,329573
2019-11-12,39.1300,42.2200,38.9350,39.9950,530421
2019-11-11,38.0700,39.5600,37.8900,38.7200,640402
2019-11-08,37.4800,37.9500,36.1600,37.8200,592486
2019-11-07,37.3900,38.5000,36.9000,37.5700,544306
2019-11-06,38.8700,39.5000,35.5601,37.3000,768748
2019-11-05,40.9200,41.1000,40.1400,40.8300,257487
2019-11-04,41.5000,41.5000,40.6900,40.7400,174913
2019-11-01,40.1100,41.0800,40.1100,41.0100,183419
2019-10-31,40.6100,41.2600,39.7100,39.7700,186476
2019-10-30,41.4000,41.6970,40.3600,40.4600,264745
2019-10-29,41.1800,42.0000,41.0500,41.5800,314796
2019-10-28,40.1800,42.1300,39.9200,41.0200,309623
2019-10-25,39.7300,40.6100,39.5050,39.9700,264766
2019-10-24,39.5200,40.0550,39.2050,39.8100,241203
2019-10-23,39.0000,39.9600,38.8700,39.1600,276373
2019-10-22,39.8100,40.1000,38.9300,39.0200,312836
2019-10-21,39.5400,39.9000,39.1400,39.7200,305825
2019-10-18,39.2300,39.7800,38.4710,39.1400,244735
2019-10-17,39.5300,40.3300,38.3800,39.3600,290622
2019-10-16,38.8900,39.4800,38.5300,39.0100,247727
2019-10-15,38.6000,40.0000,38.2200,38.9700,363001
2019-10-14,38.2000,39.1800,38.2000,38.5300,205242
2019-10-11,37.4300,38.9900,37.3500,38.4100,658829
2019-10-10,35.4800,37.0500,35.4800,37.0000,326900
2019-10-09,36.6500,37.0500,35.2400,35.4000,300738
2019-10-08,36.9900,37.1200,36.0400,36.6100,437845
2019-10-07,37.5500,37.7200,37.0000,37.2900,220077
2019-10-04,37.6100,38.5199,36.9800,37.5200,186890
2019-10-03,36.3800,37.6800,36.0100,37.4900,236427
2019-10-02,35.8500,36.6400,35.2500,36.5000,386735
2019-10-01,36.9500,37.8800,35.8800,35.9000,233642
2019-09-30,38.0000,38.0000,36.3600,36.6600,337914
